age,annual_income,credit_score,employment_type,loan_amount,monthly_existing_emis,loan_purpose,loan_tenure_months,years_in_current_job,total_work_experience,existing_loan_count,residential_status,number_of_dependents,city_tier,education_level,marital_status,bank_account_vintage_months,risk_score,approval_status,dti_ratio,loan_to_income_ratio
29,328543,638,Salaried,682864,5613,Vehicle,48,0.9,2.9,1,Rented,1,Metro,Graduate,Married,66,37.88,REJECTED,84.36,2.08
34,5424690,850,Salaried,10000000,0,Education,60,1.8,3.8,0,Rented,0,Tier-2,Professional,Married,75,77.36,APPROVED,47.55,1.84
21,666802,582,Salaried,1689061,16345,Personal,36,0.0,0.0,1,Rented,3,Tier-2,Graduate,Divorced,198,27.1,REJECTED,128.21,2.53
28,1601106,729,Self-Employed,10000000,0,Business,84,5.2,5.9,0,Company-Provided,2,Tier-3,Graduate,Widowed,95,51.08,MANUAL_REVIEW,126.37,6.25
30,302591,770,Freelancer,1437178,7953,Home,360,2.9,2.9,1,Rented,1,Tier-3,Graduate,Single,236,58.08,MANUAL_REVIEW,83.68,4.75
29,1432302,734,Salaried,2006876,15176,Personal,48,6.4,6.8,3,Company-Provided,1,Tier-3,Graduate,Divorced,36,65.36,MANUAL_REVIEW,55.76,1.4
36,2812619,767,Self-Employed,6782208,26115,Education,60,6.2,11.0,1,Owned,1,Metro,Post-Graduate,Single,195,72.6,APPROVED,73.34,2.41
26,886417,743,Government,2979014,24580,Home,300,2.2,2.2,1,Owned,4,Tier-1,Graduate,Single,173,63.14,MANUAL_REVIEW,71.35,3.36
46,497133,828,Salaried,3877538,0,Home,240,5.1,17.5,0,Rented,3,Metro,Graduate,Married,109,63.6,MANUAL_REVIEW,93.45,7.8
35,994618,674,Salaried,1640703,21417,Medical,12,3.3,10.8,1,Family-Owned,3,Tier-2,Professional,Married,71,56.16,MANUAL_REVIEW,200.33,1.65
34,300000,563,Salaried,1625403,6509,Home,180,1.8,7.3,3,Rented,0,Metro,Graduate,Married,144,28.26,REJECTED,97.9,5.42
31,784324,528,Salaried,981502,0,Medical,60,4.4,4.4,0,Owned,2,Tier-1,High-School,Single,114,53.18,MANUAL_REVIEW,32.28,1.25
36,1372771,556,Salaried,2937385,45097,Personal,12,1.5,1.5,1,Rented,1,Tier-2,Post-Graduate,Married,57,30.7,REJECTED,265.76,2.14
43,1306498,631,Salaried,1377774,25185,Personal,36,0.0,0.0,1,Owned,2,Metro,Graduate,Single,194,37.9,REJECTED,64.26,1.05
26,645839,722,Salaried,3864902,0,Business,84,4.7,4.7,0,Family-Owned,3,Tier-2,Graduate,Married,67,49.84,MANUAL_REVIEW,121.08,5.98
28,1071103,651,Salaried,2148711,14179,Personal,48,1.9,1.9,4,Owned,3,Tier-2,Professional,Married,110,46.08,MANUAL_REVIEW,77.52,2.01
31,806976,673,Salaried,2378912,20456,Education,84,1.2,6.6,1,Rented,4,Metro,High-School,Single,43,50.82,MANUAL_REVIEW,90.06,2.95
21,420307,627,Government,3390538,0,Home,360,0.0,0.0,0,Family-Owned,1,Tier-3,Graduate,Married,99,31.1,REJECTED,88.55,8.07
26,565468,810,Salaried,1311135,16243,Personal,24,4.1,4.1,1,Owned,2,Tier-1,Graduate,Married,130,65.72,MANUAL_REVIEW,163.51,2.32
30,5143446,801,Salaried,5658692,107458,Personal,48,1.1,1.1,1,Family-Owned,2,Metro,High-School,Married,92,66.52,MANUAL_REVIEW,58.87,1.1
43,571211,777,Self-Employed,4842809,14639,Home,180,7.5,17.6,1,Owned,3,Tier-1,Graduate,Married,58,61.1,MANUAL_REVIEW,143.21,8.48
37,1254006,715,Government,2735109,26561,Personal,48,11.6,11.6,2,Rented,2,Tier-3,Professional,Single,213,65.62,MANUAL_REVIEW,92.43,2.18
36,3496153,766,Salaried,10000000,64738,Education,120,3.4,4.9,1,Owned,2,Tier-3,Post-Graduate,Single,224,72.18,APPROVED,68.53,2.86
43,1726066,744,Salaried,6253336,15863,Business,60,6.7,15.2,1,Owned,2,Metro,Graduate,Married,62,59.3,MANUAL_REVIEW,104.47,3.62
33,600363,553,Salaried,819493,7610,Personal,12,3.5,9.9,1,Rented,3,Tier-3,Graduate,Married,169,38.08,REJECTED,159.6,1.36
38,1506607,692,Government,2646399,30625,Medical,60,5.0,5.0,2,Rented,2,Tier-2,Post-Graduate,Single,220,60.4,MANUAL_REVIEW,69.7,1.76
33,1468641,672,Government,2525794,26797,Personal,36,10.4,10.4,1,Rented,0,Metro,Graduate,Married,125,59.98,MANUAL_REVIEW,88.97,1.72
37,432109,660,Freelancer,607322,0,Medical,60,1.3,1.3,0,Owned,4,Tier-2,Graduate,Married,187,58.06,MANUAL_REVIEW,36.25,1.41
29,1130165,618,Salaried,2326275,33232,Personal,36,4.2,4.2,1,Rented,2,Tier-1,Graduate,Single,38,43.04,MANUAL_REVIEW,115.57,2.06
21,616627,548,Salaried,1312706,0,Personal,12,0.0,0.0,0,Owned,3,Tier-1,Post-Graduate,Married,91,28.3,REJECTED,225.19,2.13
33,874124,592,Salaried,1219069,9654,Education,84,1.4,8.7,3,Rented,2,Tier-1,High-School,Married,44,46.14,MANUAL_REVIEW,41.47,1.39
49,595901,535,Salaried,1219765,5712,Education,84,2.9,4.9,1,Rented,1,Tier-2,Graduate,Married,213,40.68,REJECTED,52.92,2.05
44,417084,631,Salaried,289069,0,Medical,60,6.9,7.9,0,Company-Provided,4,Tier-2,Post-Graduate,Married,9,67.78,MANUAL_REVIEW,17.88,0.69
44,612663,438,Salaried,3897227,6440,Home,240,2.9,2.9,4,Rented,2,Tier-2,Post-Graduate,Married,179,27.78,REJECTED,88.82,6.36
47,2829166,691,Self-Employed,10000000,0,Home,360,6.3,21.1,0,Owned,1,Metro,Post-Graduate,Single,115,70.6,MANUAL_REVIEW,38.8,3.53
35,873575,743,Salaried,3750410,22088,Business,180,1.9,1.9,2,Company-Provided,5,Tier-2,Graduate,Married,212,45.88,MANUAL_REVIEW,87.29,4.29
36,756241,683,Self-Employed,1923230,17541,Personal,48,3.0,10.8,1,Owned,5,Metro,Post-Graduate,Single,150,50.06,MANUAL_REVIEW,105.97,2.54
28,1472440,710,Government,7377991,35542,Home,360,3.7,5.0,1,Rented,1,Tier-3,Professional,Married,36,59.7,MANUAL_REVIEW,83.97,5.01
31,1094472,642,Salaried,3937411,13414,Education,120,1.2,1.4,1,Owned,5,Tier-1,Graduate,Single,44,38.78,REJECTED,72.96,3.6
41,3221838,787,Government,5737953,68438,Personal,48,7.7,11.3,3,Family-Owned,2,Metro,Professional,Married,228,75.86,APPROVED,80.21,1.78
47,1100291,810,Government,1811031,30285,Personal,36,3.4,12.9,1,Owned,0,Tier-2,Post-Graduate,Single,232,74.38,APPROVED,97.23,1.65
33,957673,508,Self-Employed,5661540,24353,Business,120,4.8,7.1,1,Rented,5,Tier-2,Professional,Married,155,28.42,REJECTED,126.24,5.91
30,353889,635,Salaried,932752,6830,Education,120,7.0,8.4,1,Family-Owned,0,Metro,Graduate,Single,91,50.08,MANUAL_REVIEW,65.84,2.64
35,1754277,719,Government,2821530,0,Personal,36,1.1,1.1,0,Family-Owned,2,Metro,Professional,Single,69,59.22,MANUAL_REVIEW,62.73,1.61
41,825904,631,Freelancer,2110171,9019,Business,84,6.0,16.4,1,Owned,3,Tier-3,Graduate,Married,72,38.4,REJECTED,64.8,2.55
21,1008294,542,Self-Employed,3150774,0,Business,180,0.0,0.0,0,Owned,3,Tier-1,Graduate,Married,151,29.4,REJECTED,41.45,3.12
21,415642,626,Self-Employed,3493997,0,Home,240,0.0,0.0,0,Owned,0,Metro,High-School,Single,186,28.9,REJECTED,100.71,8.41
29,590930,704,Self-Employed,2232562,17786,Education,60,5.2,5.2,1,Family-Owned,1,Tier-1,Graduate,Single,193,58.34,MANUAL_REVIEW,133.56,3.78
22,872712,815,Salaried,1094869,18753,Personal,24,0.7,0.7,1,Company-Provided,0,Metro,High-School,Single,223,60.14,MANUAL_REVIEW,95.6,1.25
29,1263801,766,Self-Employed,1765805,0,Medical,12,4.4,4.4,0,Owned,1,Metro,Graduate,Married,232,68.78,MANUAL_REVIEW,147.8,1.4
33,529853,695,Salaried,1287231,0,Business,84,4.0,6.0,0,Rented,4,Metro,Post-Graduate,Widowed,221,57.8,MANUAL_REVIEW,49.15,2.43
30,727357,679,Self-Employed,1098870,0,Personal,36,2.9,2.9,0,Rented,3,Tier-3,High-School,Single,95,50.18,MANUAL_REVIEW,58.92,1.51
49,1003918,757,Self-Employed,1541394,30694,Vehicle,36,8.4,19.3,1,Rented,2,Metro,Post-Graduate,Married,41,72.2,APPROVED,96.57,1.54
38,633771,670,Salaried,2066383,12232,Education,84,2.2,4.9,1,Rented,3,Tier-1,Graduate,Married,90,49.08,MANUAL_REVIEW,89.13,3.26
38,1248573,512,Self-Employed,3098416,0,Business,180,5.7,7.8,0,Rented,1,Metro,High-School,Single,181,51.56,MANUAL_REVIEW,32.92,2.48
41,884789,765,Salaried,5619702,12615,Business,84,4.1,17.1,2,Owned,3,Tier-1,Graduate,Married,125,57.1,MANUAL_REVIEW,145.62,6.35
23,2628573,797,Salaried,2322888,0,Medical,12,0.2,0.2,0,Owned,2,Tier-1,High-School,Married,118,65.14,MANUAL_REVIEW,93.48,0.88
45,1308528,719,Government,2720666,0,Vehicle,36,2.4,12.7,0,Rented,2,Tier-1,Post-Graduate,Married,76,64.84,MANUAL_REVIEW,81.09,2.08
34,1335352,704,Self-Employed,2955786,21390,Personal,36,6.3,6.3,4,Family-Owned,0,Tier-1,Graduate,Single,202,58.66,MANUAL_REVIEW,105.55,2.21
41,796881,749,Salaried,4284853,14971,Home,240,0.6,7.6,1,Family-Owned,1,Tier-2,High-School,Single,36,48.92,MANUAL_REVIEW,86.96,5.38
24,834203,780,Salaried,2018669,0,Personal,24,1.8,1.8,0,Rented,0,Tier-3,Graduate,Divorced,212,60.46,MANUAL_REVIEW,134.67,2.42
21,2378209,610,Salaried,2213759,56337,Medical,60,0.0,0.0,3,Company-Provided,0,Tier-1,Graduate,Divorced,130,44.9,MANUAL_REVIEW,52.44,0.93
43,597798,630,Freelancer,2034648,0,Business,60,1.6,10.8,0,Owned,1,Tier-1,Graduate,Single,135,31.46,REJECTED,87.79,3.4
38,1607252,847,Salaried,2206572,44289,Education,84,3.6,8.3,3,Owned,2,Tier-3,Graduate,Married,151,73.96,APPROVED,60.84,1.37
25,477983,735,Self-Employed,2749138,0,Home,240,2.1,2.1,0,Owned,3,Metro,Post-Graduate,Single,189,51.22,MANUAL_REVIEW,68.91,5.75
26,615679,587,Self-Employed,680438,8865,Personal,24,1.1,1.1,2,Owned,0,Tier-3,Post-Graduate,Married,143,31.32,REJECTED,78.78,1.11
46,1135270,651,Salaried,2021861,0,Personal,24,1.4,5.2,0,Family-Owned,0,Tier-2,Graduate,Single,121,49.24,MANUAL_REVIEW,99.11,1.78
23,383464,665,Salaried,1176707,4995,Home,180,0.6,1.3,3,Rented,3,Tier-1,Professional,Married,51,49.06,MANUAL_REVIEW,56.34,3.07
51,1307658,657,Salaried,4006909,17522,Business,120,2.8,2.8,1,Rented,0,Tier-1,Graduate,Married,71,44.76,MANUAL_REVIEW,65.7,3.06
25,529876,528,Self-Employed,5047918,0,Home,300,1.2,1.2,0,Rented,1,Metro,Graduate,Single,15,23.24,REJECTED,107.94,9.53
41,795102,678,Self-Employed,2043952,25201,Personal,24,1.5,16.6,2,Family-Owned,0,Metro,Graduate,Married,192,47.3,MANUAL_REVIEW,181.1,2.57
31,339854,643,Salaried,1581389,4225,Home,180,1.0,1.0,1,Rented,2,Tier-2,Graduate,Divorced,237,37.5,REJECTED,76.64,4.65
41,6814043,809,Self-Employed,10000000,115681,Medical,48,0.7,9.4,2,Rented,0,Metro,Graduate,Single,81,63.78,MANUAL_REVIEW,65.46,1.47
29,300000,700,Salaried,1727858,6144,Business,120,5.3,5.3,1,Rented,3,Metro,Graduate,Married,116,50.46,MANUAL_REVIEW,117.84,5.76
33,1068302,807,Salaried,1811190,23757,Education,84,1.7,1.7,2,Rented,0,Tier-3,Graduate,Single,27,67.54,MANUAL_REVIEW,60.99,1.7
35,1271421,785,Self-Employed,2134999,37869,Personal,12,4.4,4.4,1,Rented,1,Metro,Graduate,Single,110,65.98,MANUAL_REVIEW,213.37,1.68
24,1818922,760,Salaried,10000000,20290,Home,180,1.7,1.7,3,Owned,1,Tier-3,Post-Graduate,Married,26,57.84,MANUAL_REVIEW,86.31,5.5
42,2103472,739,Self-Employed,4296880,23209,Vehicle,36,6.9,6.9,1,Owned,4,Tier-2,Post-Graduate,Divorced,54,61.98,MANUAL_REVIEW,92.91,2.04
29,455863,748,Salaried,2845420,0,Business,120,0.9,0.9,0,Rented,1,Tier-1,Post-Graduate,Single,97,39.68,REJECTED,101.07,6.24
32,2604334,560,Self-Employed,10000000,0,Business,180,2.6,2.6,0,Owned,0,Tier-2,High-School,Widowed,8,29.12,REJECTED,50.93,3.84
25,1312252,763,Salaried,10000000,21315,Home,180,0.4,0.4,2,Owned,2,Metro,Post-Graduate,Single,170,54.18,MANUAL_REVIEW,120.58,7.62
21,1242759,796,Salaried,8153952,23194,Home,300,0.0,0.0,2,Owned,2,Tier-2,Professional,Divorced,175,53.8,MANUAL_REVIEW,96.74,6.56
33,726731,707,Self-Employed,1784761,12846,Personal,24,0.7,2.8,2,Company-Provided,1,Tier-3,Graduate,Single,161,49.76,MANUAL_REVIEW,157.88,2.46
59,1308531,820,Government,10000000,0,Home,180,7.7,20.2,0,Owned,2,Metro,Post-Graduate,Single,202,69.6,MANUAL_REVIEW,101.37,7.64
42,613632,790,Government,1480808,0,Business,120,9.0,9.0,0,Rented,0,Tier-1,Professional,Widowed,133,84.5,APPROVED,39.07,2.41
34,2077819,615,Freelancer,6168978,37672,Education,60,7.4,7.4,1,Rented,1,Metro,Post-Graduate,Single,188,44.38,MANUAL_REVIEW,98.33,2.97
32,1779218,568,Salaried,5272673,0,Education,120,5.5,5.5,0,Rented,0,Tier-3,Graduate,Single,74,50.7,MANUAL_REVIEW,47.99,2.96
35,587061,712,Freelancer,2037829,17388,Home,240,9.7,10.2,1,Owned,1,Tier-3,Post-Graduate,Married,78,58.44,MANUAL_REVIEW,77.13,3.47
40,1187246,614,Salaried,1743075,34726,Vehicle,60,5.4,16.6,1,Family-Owned,2,Tier-1,Graduate,Divorced,131,51.9,MANUAL_REVIEW,72.97,1.47
23,682657,769,Salaried,1585730,0,Vehicle,48,0.6,0.6,0,Rented,3,Tier-1,Graduate,Married,221,60.62,MANUAL_REVIEW,71.37,2.32
46,1278533,679,Self-Employed,10000000,36400,Home,180,4.6,4.6,1,Company-Provided,1,Tier-1,Post-Graduate,Divorced,234,44.22,MANUAL_REVIEW,137.91,7.82
42,1375960,749,Salaried,4664766,37447,Education,120,3.7,20.7,1,Owned,5,Tier-1,Graduate,Single,124,62.4,MANUAL_REVIEW,87.55,3.39
42,1557725,811,Salaried,2529931,14553,Education,84,2.4,18.2,1,Rented,1,Tier-1,Graduate,Married,164,80.9,APPROVED,44.07,1.62
39,549730,670,Salaried,3091153,6634,Home,180,6.3,6.6,2,Family-Owned,0,Metro,Graduate,Married,124,49.72,MANUAL_REVIEW,89.07,5.62
35,550471,589,Self-Employed,470969,14663,Medical,24,6.5,12.5,2,Owned,3,Metro,Post-Graduate,Widowed,211,42.1,MANUAL_REVIEW,79.58,0.86
41,1838192,752,Salaried,10000000,42654,Business,180,6.4,13.4,2,Family-Owned,2,Tier-2,Post-Graduate,Married,110,60.58,MANUAL_REVIEW,100.01,5.44
40,460326,537,Salaried,968066,0,Vehicle,36,2.5,8.3,0,Owned,2,Tier-1,Graduate,Single,56,37.26,REJECTED,82.02,2.1
31,376054,657,Salaried,690913,9469,Medical,36,7.3,8.7,3,Owned,3,Tier-1,Graduate,Single,32,56.14,MANUAL_REVIEW,101.87,1.84
29,588824,698,Salaried,3985399,15460,Business,84,2.3,5.4,1,Company-Provided,5,Tier-1,Post-Graduate,Married,154,36.88,REJECTED,168.45,6.77
36,688128,689,Salaried,762680,21412,Personal,12,5.0,12.4,3,Owned,1,Tier-1,Graduate,Married,92,55.88,MANUAL_REVIEW,154.58,1.11
50,2391950,776,Salaried,1856018,57913,Medical,24,0.9,12.1,4,Rented,2,Metro,Graduate,Single,107,67.02,MANUAL_REVIEW,72.24,0.78
22,1668124,646,Salaried,4687946,25393,Personal,24,0.8,0.8,1,Rented,2,Tier-1,Professional,Single,73,35.56,REJECTED,174.66,2.81
21,2265255,743,Government,10000000,23578,Home,300,0.0,0.0,3,Owned,0,Tier-1,High-School,Single,137,54.8,MANUAL_REVIEW,62.51,4.41
36,1152440,736,Government,2151368,22052,Personal,12,6.3,11.0,1,Company-Provided,1,Tier-3,Graduate,Married,116,67.4,MANUAL_REVIEW,220.43,1.87
35,1907184,803,Salaried,3438861,0,Personal,60,6.1,6.1,0,Owned,1,Tier-1,Graduate,Single,202,78.52,APPROVED,46.51,1.8
36,721636,674,Salaried,1239337,0,Vehicle,48,6.1,6.1,0,Owned,1,Metro,High-School,Single,18,60.62,MANUAL_REVIEW,52.77,1.72
37,1239271,675,Self-Employed,2668070,32319,Personal,60,7.8,12.7,1,Rented,2,Tier-2,High-School,Married,165,50.94,MANUAL_REVIEW,86.82,2.15
32,312930,771,Salaried,1495653,4813,Home,180,1.4,1.4,2,Rented,2,Tier-1,Graduate,Married,74,60.78,MANUAL_REVIEW,81.86,4.78
49,987457,689,Government,5753114,11193,Home,180,9.5,26.0,4,Owned,2,Tier-3,High-School,Married,164,54.6,MANUAL_REVIEW,90.89,5.83
21,1649409,686,Salaried,2420623,54928,Medical,36,0.0,0.0,1,Rented,2,Tier-3,Graduate,Married,65,46.7,MANUAL_REVIEW,97.2,1.47
26,1494536,612,Government,1660381,28105,Vehicle,60,3.2,3.2,2,Rented,4,Tier-3,Graduate,Married,148,53.84,MANUAL_REVIEW,51.22,1.11
33,2566084,842,Self-Employed,10000000,35261,Business,120,3.8,4.9,3,Owned,2,Metro,Graduate,Single,151,64.98,MANUAL_REVIEW,79.59,3.9
21,382456,693,Freelancer,1904851,4760,Home,180,0.0,0.0,1,Rented,2,Metro,Post-Graduate,Single,109,40.5,REJECTED,81.0,4.98
33,772043,753,Salaried,5301547,0,Home,300,4.9,8.5,0,Rented,1,Tier-2,Professional,Married,23,61.5,MANUAL_REVIEW,77.8,6.87
51,448373,819,Salaried,925323,13407,Personal,12,1.3,26.1,2,Family-Owned,0,Tier-1,Post-Graduate,Married,161,63.4,MANUAL_REVIEW,254.18,2.06
35,879874,661,Salaried,1355093,25360,Vehicle,60,5.7,12.0,1,Family-Owned,3,Metro,Professional,Single,13,58.7,MANUAL_REVIEW,74.31,1.54
37,1319310,803,Salaried,1237724,31223,Medical,60,1.9,5.7,2,Company-Provided,3,Metro,Graduate,Single,33,70.54,MANUAL_REVIEW,52.6,0.94
22,926272,783,Self-Employed,1288902,20389,Medical,24,0.6,0.6,2,Owned,3,Tier-2,Graduate,Single,195,60.62,MANUAL_REVIEW,103.85,1.39
28,760445,636,Salaried,829744,0,Personal,24,3.4,5.5,0,Rented,3,Tier-3,Graduate,Married,211,44.4,MANUAL_REVIEW,60.72,1.09
31,451111,742,Salaried,515031,0,Medical,48,4.7,7.6,0,Rented,1,Tier-2,Post-Graduate,Married,202,76.02,APPROVED,35.08,1.14
31,443547,796,Salaried,810762,0,Education,120,2.3,8.9,0,Owned,2,Tier-2,Graduate,Married,23,86.98,APPROVED,29.6,1.83
47,1283792,694,Salaried,4967305,0,Home,300,2.8,21.6,0,Company-Provided,3,Tier-2,Post-Graduate,Married,12,62.7,MANUAL_REVIEW,43.84,3.87
40,3707337,807,Salaried,7027910,119077,Medical,24,1.6,13.6,2,Owned,2,Tier-2,Post-Graduate,Single,215,68.32,MANUAL_REVIEW,144.04,1.9
23,675326,610,Self-Employed,5334805,9481,Home,240,1.5,1.5,1,Rented,4,Tier-3,High-School,Married,152,29.7,REJECTED,111.49,7.9
37,2113927,838,Government,6630018,0,Business,180,2.9,12.9,0,Owned,2,Metro,Post-Graduate,Divorced,120,74.18,APPROVED,41.6,3.14
39,883431,696,Salaried,2556411,16536,Personal,36,3.3,15.1,1,Rented,2,Tier-3,Graduate,Single,213,52.4,MANUAL_REVIEW,135.33,2.89
46,409105,663,Salaried,1845859,3661,Home,240,3.9,8.8,1,Rented,5,Tier-1,Graduate,Married,148,51.56,MANUAL_REVIEW,64.79,4.51
50,477222,677,Salaried,2218744,0,Home,240,2.0,22.7,0,Family-Owned,2,Metro,Professional,Married,189,55.0,MANUAL_REVIEW,55.7,4.65
24,758448,605,Salaried,1193157,0,Education,60,2.8,2.8,0,Rented,4,Tier-1,Post-Graduate,Married,165,55.06,MANUAL_REVIEW,40.58,1.57
26,600857,721,Salaried,3647940,11294,Business,180,1.2,1.2,1,Family-Owned,0,Metro,Post-Graduate,Married,176,43.34,MANUAL_REVIEW,103.09,6.07
22,603191,650,Government,4220001,10820,Home,240,0.0,0.0,1,Rented,2,Metro,Professional,Single,7,39.5,REJECTED,105.34,7.0
32,351603,539,Government,479271,11276,Education,60,0.8,0.8,3,Family-Owned,1,Tier-3,Post-Graduate,Married,98,36.06,REJECTED,73.64,1.36
39,740556,680,Self-Employed,705846,12803,Personal,48,0.8,3.9,3,Owned,1,Metro,High-School,Single,236,49.48,MANUAL_REVIEW,50.03,0.95
44,705473,649,Salaried,4746857,20601,Home,180,2.0,21.2,1,Rented,0,Tier-3,Professional,Married,126,37.6,REJECTED,124.3,6.73
34,903189,717,Self-Employed,6828757,24836,Home,180,1.6,1.6,1,Owned,1,Tier-2,Graduate,Widowed,95,47.12,MANUAL_REVIEW,133.29,7.56
31,890940,815,Salaried,3121894,10704,Education,120,5.2,7.5,1,Family-Owned,2,Tier-3,Graduate,Married,26,68.3,MANUAL_REVIEW,71.16,3.5
36,946848,716,Salaried,6010506,0,Home,240,2.5,13.0,0,Owned,2,Tier-3,Post-Graduate,Married,69,53.6,MANUAL_REVIEW,76.05,6.35
26,1429458,597,Salaried,3317363,0,Personal,24,4.4,4.4,0,Owned,4,Tier-2,High-School,Single,102,36.18,REJECTED,129.15,2.32
55,1770583,628,Self-Employed,3601184,0,Vehicle,36,5.0,14.2,0,Company-Provided,1,Tier-2,Post-Graduate,Married,170,47.14,MANUAL_REVIEW,79.33,2.03
21,881675,771,Salaried,6428617,0,Home,180,0.0,0.0,0,Rented,3,Tier-3,Graduate,Married,148,52.1,MANUAL_REVIEW,96.72,7.29
36,1903051,720,Salaried,2080230,0,Medical,48,3.0,4.8,0,Company-Provided,0,Tier-1,High-School,Married,34,76.46,APPROVED,33.58,1.09
55,659396,492,Government,1034794,21365,Education,60,5.0,5.0,1,Rented,3,Metro,Graduate,Divorced,216,47.8,MANUAL_REVIEW,79.36,1.57
35,726560,813,Salaried,1641902,0,Personal,12,3.0,3.0,0,Rented,2,Tier-3,Graduate,Married,164,65.2,MANUAL_REVIEW,239.04,2.26
33,1086140,624,Salaried,1820560,0,Medical,24,1.6,1.6,0,Rented,3,Tier-1,Post-Graduate,Single,44,41.82,MANUAL_REVIEW,93.28,1.68
31,630276,673,Self-Employed,818499,15194,Personal,60,2.7,4.1,1,Owned,1,Metro,Graduate,Divorced,132,49.02,MANUAL_REVIEW,62.42,1.3
33,635015,713,Salaried,4104779,14762,Home,180,2.0,2.0,2,Owned,1,Tier-2,Post-Graduate,Single,191,51.4,MANUAL_REVIEW,113.64,6.46
48,346765,716,Salaried,2004550,0,Home,180,3.4,10.9,0,Rented,0,Tier-1,Graduate,Single,172,56.98,MANUAL_REVIEW,76.68,5.78
21,2297441,554,Salaried,7650343,19817,Business,60,0.0,0.0,2,Rented,0,Tier-1,Post-Graduate,Married,221,25.1,REJECTED,96.24,3.33
50,536163,657,Salaried,2529183,13840,Home,300,0.8,19.0,1,Family-Owned,3,Tier-2,Post-Graduate,Married,20,45.9,MANUAL_REVIEW,84.42,4.72
21,2267050,654,Government,3171865,22044,Personal,36,0.0,0.0,1,Owned,1,Metro,Graduate,Single,61,48.2,MANUAL_REVIEW,66.24,1.4
32,911202,737,Self-Employed,2162288,11816,Education,60,4.4,8.9,4,Rented,1,Tier-2,Graduate,Single,35,61.58,MANUAL_REVIEW,76.77,2.37
30,1115815,823,Salaried,2558891,0,Education,60,0.4,0.4,0,Owned,2,Tier-1,Graduate,Married,30,66.78,MANUAL_REVIEW,59.15,2.29
40,498474,636,Self-Employed,2571845,5382,Business,180,6.0,15.1,1,Rented,2,Tier-1,Professional,Widowed,193,38.2,REJECTED,81.4,5.16
21,908970,760,Self-Employed,2489992,0,Business,84,0.0,0.0,0,Family-Owned,0,Tier-3,Professional,Married,52,57.1,MANUAL_REVIEW,55.42,2.74
39,1653115,686,Salaried,3505638,29406,Personal,36,2.9,6.2,1,Owned,2,Tier-3,High-School,Widowed,86,49.04,MANUAL_REVIEW,104.06,2.12
55,1893173,642,Salaried,2387611,0,Education,60,5.2,10.5,0,Rented,2,Tier-1,Professional,Married,189,66.1,MANUAL_REVIEW,32.53,1.26
21,1811289,843,Government,8697132,51125,Home,240,0.0,0.0,2,Rented,3,Tier-2,High-School,Single,226,60.1,MANUAL_REVIEW,91.4,4.8
36,1109630,850,Self-Employed,2168760,28870,Personal,36,1.2,2.6,1,Family-Owned,0,Tier-3,Graduate,Single,158,61.72,MANUAL_REVIEW,107.45,1.95
28,409531,497,Salaried,2398383,4505,Business,120,5.8,6.7,4,Rented,2,Tier-1,Graduate,Married,179,27.64,REJECTED,108.03,5.86
39,330713,541,Salaried,833283,9357,Personal,36,5.9,10.8,2,Owned,2,Tier-2,Graduate,Married,136,38.06,REJECTED,132.23,2.52
35,1479661,750,Salaried,1201828,29377,Vehicle,60,6.5,6.6,3,Company-Provided,3,Tier-1,Post-Graduate,Married,155,82.72,APPROVED,44.77,0.81
28,1494176,729,Salaried,10000000,0,Home,300,2.5,5.3,0,Company-Provided,1,Tier-1,Graduate,Married,121,52.36,MANUAL_REVIEW,75.83,6.69
39,2269575,653,Salaried,3109917,20764,Vehicle,60,3.6,14.6,1,Rented,0,Tier-3,Graduate,Married,169,66.62,MANUAL_REVIEW,46.32,1.37
53,809409,600,Salaried,1909645,11274,Personal,48,2.3,3.5,1,Family-Owned,2,Metro,Professional,Divorced,123,41.0,MANUAL_REVIEW,89.2,2.36
33,737569,669,Self-Employed,2758392,20624,Business,84,3.4,8.9,2,Owned,2,Tier-1,High-School,Married,10,49.08,MANUAL_REVIEW,109.22,3.74
42,350695,675,Self-Employed,1151130,0,Education,84,9.7,19.6,0,Owned,2,Tier-3,Graduate,Single,45,52.2,MANUAL_REVIEW,66.41,3.28
22,1789263,697,Salaried,3873213,47712,Personal,60,0.6,0.6,3,Family-Owned,2,Tier-3,Post-Graduate,Married,204,43.22,MANUAL_REVIEW,87.83,2.16
25,300000,621,Salaried,1918734,0,Business,180,2.5,2.5,0,Owned,1,Tier-2,Post-Graduate,Married,32,29.0,REJECTED,84.84,6.4
39,1003321,672,Self-Employed,7442703,13085,Business,60,8.1,15.7,3,Owned,2,Tier-2,Post-Graduate,Single,84,45.3,MANUAL_REVIEW,206.98,7.42
49,1273095,692,Government,4766519,11818,Education,60,7.8,19.0,1,Rented,0,Tier-2,Graduate,Married,65,59.5,MANUAL_REVIEW,107.71,3.74
38,1170574,577,Self-Employed,3349261,18393,Education,120,9.9,16.9,1,Owned,2,Metro,Post-Graduate,Married,196,42.9,MANUAL_REVIEW,65.18,2.86
31,819780,756,Salaried,2276447,23123,Personal,36,2.8,2.8,4,Owned,2,Tier-1,Post-Graduate,Married,83,63.56,MANUAL_REVIEW,142.15,2.78
34,895471,655,Salaried,729205,28469,Medical,48,4.1,11.0,3,Owned,4,Tier-1,Graduate,Married,209,58.1,MANUAL_REVIEW,63.17,0.81
